Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
这个	這個	zhè ge	this one	este/esta (concreto)	这个多少钱？	How much is this one?	¿Cuánto cuesta este?	这 (zhè) - this	这 (zhè) - este	指较近的具体事物	A specific thing that is nearby	Un objeto concreto que está cerca
这里	這裡	zhè lǐ	here	aquí	我住在这里。	I live here.	Vivo aquí.	这儿 (zhèr) - here	这儿 (zhèr) - aquí	指较近的地点	A place that is nearby	Un lugar que está cerca
这儿	這兒	zhèr	here	aquí	他在这儿工作。	He works here.	Él trabaja aquí.	这里 (zhè lǐ) - here	这里 (zhè lǐ) - aquí	指较近的地点，口语常用	A place nearby, colloquial	Un lugar cercano, coloquial
这些	這些	zhè xiē	these	estos/estas	这些书都是我的。	These books are all mine.	Todos estos libros son míos.			指较近的多个事物	Refers to several nearby things	Señala varias cosas cercanas
真	真	zhēn	really	de verdad / realmente	这个电影真好看。	This movie is really good.	Esta película es realmente buena.	非常 (fēi cháng) - very	非常 (fēi cháng) - muy	表示确实如此	Indicates something is truly the case	Indica que algo es realmente así
正在	正在	zhèng zài	in the process of	estar (haciendo algo)	她正在写作业。	She is doing her homework.	Ella está haciendo los deberes.			表示动作正在进行	Indicates an action is ongoing	Indica que una acción está en curso
知道	知道	zhī dào	to know	saber	我知道这件事。	I know about this matter.	Sé lo de ese asunto.	认识 (rèn shi) - to know	认识 (rèn shi) - conocer	了解某个事实或情况	To be aware of a fact or situation	Ser consciente de un hecho o situación
只	隻	zhī	CL: animals	(clasificador para animales)	那只狗很可爱。	That dog is very cute.	Ese perro es muy simpático.			用于鸟兽等动物的量词	Measure word for birds and certain animals	Clasificador para aves y ciertos animales
中国	中國	zhōng guó	China	China	我来自中国。	I come from China.	Vengo de China.			位于亚洲的国家	A country located in Asia	Un país situado en Asia
中文	中文	zhōng wén	Chinese language	idioma chino	他会说中文。	He can speak Chinese.	Él sabe hablar chino.	汉语 (hàn yǔ) - Chinese	汉语 (hàn yǔ) - chino	汉族的语言文字	The Chinese language	La lengua y escritura chinas
中午	中午	zhōng wǔ	noon	mediodía	中午我们吃饭。	We eat at noon.	Comemos al mediodía.			白天正中的时候	The middle of the day	La mitad del día
中学	中學	zhōng xué	middle school	instituto (secundaria)	她在中学教书。	She teaches at a middle school.	Ella da clases en un instituto.			初中和高中阶段的学校	A school for secondary education	Una escuela de educación secundaria
中学生	中學生	zhōng xué shēng	middle school student	estudiante de secundaria	他是一名中学生。	He is a middle school student.	Él es estudiante de instituto.			在中学学习的学生	A student studying at a middle school	Un estudiante que estudia en secundaria
住	住	zhù	to live	vivir (residir)	他住在北京。	He lives in Beijing.	Él vive en Pekín.			在某处长期生活	To reside in a place	Residir en un lugar de forma continuada
桌子	桌子	zhuō zi	table	mesa	书在桌子上。	The book is on the table.	El libro está sobre la mesa.	椅子 (yǐ zi) - chair	椅子 (yǐ zi) - silla	供放东西或写字用的家具	Furniture used for placing things or writing	Un mueble para poner cosas o escribir
字	字	zì	character	carácter / palabra	这个字很难写。	This character is hard to write.	Este carácter es difícil de escribir.	汉字 (hàn zì) - Chinese character	汉字 (hàn zì) - carácter chino	记录语言的符号	A symbol used to record language	Un símbolo usado para registrar el lenguaje
昨天	昨天	zuó tiān	yesterday	ayer	昨天我很忙。	I was busy yesterday.	Ayer estuve muy ocupado.			今天的前一天	The day before today	El día anterior a hoy
坐	坐	zuò	to sit	sentarse	请坐。	Please sit down.	Siéntese, por favor.			使身体的重量落在椅子等物体上	To rest one's body weight on a seat	Apoyar el peso del cuerpo sobre una silla u objeto similar
做	做	zuò	to do; to make	hacer	他在做作业。	He is doing his homework.	Está haciendo los deberes.			从事某种活动或制作某物	To engage in an activity or make something	Realizar una actividad o fabricar algo
做饭	做飯	zuò fàn	to cook	cocinar	妈妈在做饭。	Mom is cooking.	Mamá está cocinando.	做菜 (zuò cài) - to cook	做菜 (zuò cài) - cocinar	准备和烹饪食物	To prepare and cook food	Preparar y cocinar comida
