Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
其他	其他	qítā	other	otro(s)	还有其他问题吗？	Are there any other questions?	¿Hay alguna otra pregunta?			别的，除此之外的	other, besides this	otro, además de esto
起	起	qǐ	to rise, to get up	levantarse	他每天六点起床。	He gets up at six every day.	Se levanta a las seis todos los días.			从卧或坐的位置站起来	to stand up from a lying or sitting position	levantarse de una posición tumbada o sentada
起飞	起飛	qǐfēi	to take off	despegar	飞机马上就要起飞了。	The plane is about to take off.	El avión está a punto de despegar.			飞机离开地面开始飞行	a plane leaves the ground and begins to fly	un avión deja el suelo y empieza a volar
汽车	汽車	qìchē	car	coche	他买了一辆新汽车。	He bought a new car.	Compró un coche nuevo.			用发动机驱动的交通工具	a vehicle powered by an engine	vehículo impulsado por un motor
铅笔	鉛筆	qiānbǐ	pencil	lápiz	请用铅笔写字。	Please write with a pencil.	Escribe con lápiz, por favor.			用石墨做笔芯的笔	a pen with a graphite core	bolígrafo con mina de grafito
前年	前年	qiánnián	the year before last	hace dos años	我前年去过日本。	I went to Japan the year before last.	Fui a Japón hace dos años.			去年的前一年	the year before last year	el año anterior al año pasado
前天	前天	qiántiān	the day before yesterday	anteayer	前天下雨了。	It rained the day before yesterday.	Anteayer llovió.			昨天的前一天	the day before yesterday	el día anterior a ayer
清楚	清楚	qīngchu	clear, obvious; to understand	claro; entender	请说清楚一点儿。	Please speak more clearly.	Habla más claro, por favor.			容易辨认或理解	easy to distinguish or understand	fácil de distinguir o entender
请假	請假	qǐngjià	to ask for leave	pedir permiso (para ausentarse)	他今天请假了。	He took leave today.	Hoy pidió permiso para faltar.			请求暂时不上班或上课	to request temporary absence from work or class	solicitar ausencia temporal del trabajo o la clase
请客	請客	qǐngkè	to invite guests, to treat someone	invitar (pagar)	今天我请客。	I'm treating today.	Hoy invito yo.			请人吃饭或出钱招待	to invite someone to eat or to pay to entertain them	invitar a alguien a comer o pagar para agasajarlo
秋天	秋天	qiūtiān	autumn	otoño	秋天树叶变黄了。	In autumn, the leaves turn yellow.	En otoño, las hojas se vuelven amarillas.			一年四季中的第三季	the third season of the year	la tercera estación del año
球场	球場	qiúchǎng	sports field, court	cancha	他们在球场上打篮球。	They are playing basketball on the court.	Están jugando al baloncesto en la cancha.			供球类运动使用的场地	a field used for ball sports	campo usado para deportes de pelota
裙子	裙子	qúnzi	skirt	falda	她穿了一条红裙子。	She wore a red skirt.	Llevaba puesta una falda roja.			女子下身穿的服装	a garment worn on the lower body by women	prenda que llevan las mujeres en la parte inferior del cuerpo
然后	然後	ránhòu	then, afterwards	luego, después	先吃饭，然后再看电视。	Eat first, then watch TV.	Primero come, luego ve la tele.			表示接着某种情况之后	indicates following after a certain situation	indica lo que sigue después de cierta situación
热情	熱情	rèqíng	enthusiastic	entusiasta, amable	他对人很热情。	He is very warm to people.	Es muy amable con la gente.			待人真诚而有热心	sincere and warm-hearted toward others	sincero y cordial con los demás
认得	認得	rènde	to recognize, to know	reconocer	我认得这个字。	I recognize this character.	Reconozco este carácter.			曾经见过，能辨认出来	having seen before, able to identify	haberlo visto antes, poder identificarlo
认为	認為	rènwéi	to think, to consider	considerar, pensar	我认为这是对的。	I think this is right.	Considero que esto es correcto.			对人或事物做出判断	to make a judgment about a person or thing	hacer un juicio sobre una persona o cosa
认真	認真	rènzhēn	serious, earnest	serio, aplicado	他学习很认真。	He studies very seriously.	Estudia con mucha seriedad.			严肃对待，不马虎	to treat seriously, not carelessly	tratar con seriedad, sin descuido
容易	容易	róngyì	easy	fácil	这个问题很容易回答。	This question is easy to answer.	Esta pregunta es fácil de responder.			不费力，不困难	not requiring much effort, not difficult	que no requiere mucho esfuerzo, no difícil
如果	如果	rúguǒ	if	si	如果明天不下雨，我们就去公园。	If it doesn't rain tomorrow, we'll go to the park.	Si mañana no llueve, iremos al parque.			表示假设	indicates a hypothesis	indica una hipótesis
伞	傘	sǎn	umbrella	paraguas	下雨了，我们打伞吧。	It's raining, let's use an umbrella.	Está lloviendo, usemos el paraguas.			遮雨或遮阳的用具	a tool for blocking rain or sun	utensilio para protegerse de la lluvia o el sol
扫	掃	sǎo	to sweep	barrer	我在扫地。	I am sweeping the floor.	Estoy barriendo el suelo.			用扫帚清除脏物	to remove dirt with a broom	eliminar la suciedad con una escoba
沙发	沙發	shāfā	sofa	sofá	他坐在沙发上看电视。	He sits on the sofa watching TV.	Está sentado en el sofá viendo la tele.			有软垫的椅子	a chair with cushions	silla con cojines
山	山	shān	mountain	montaña	我们爬了一座高山。	We climbed a tall mountain.	Subimos una montaña alta.			地面上高起的部分	a raised part of the earth's surface	parte elevada de la superficie terrestre
上衣	上衣	shàngyī	jacket, top garment	prenda superior	他穿了一件蓝色的上衣。	He wore a blue top.	Llevaba puesta una prenda azul.			穿在上身的衣服	clothing worn on the upper body	ropa que se lleva en la parte superior del cuerpo
勺子	勺子	sháozi	spoon	cuchara	请给我一个勺子。	Please give me a spoon.	Dame una cuchara, por favor.			用来舀东西的餐具	a utensil used for scooping things	utensilio usado para servir cosas
身边	身邊	shēnbiān	by one's side	al lado de uno	她一直陪在我身边。	She has always been by my side.	Ella siempre ha estado a mi lado.			身体周围，附近	around the body, nearby	alrededor del cuerpo, cerca
身高	身高	shēngāo	height	estatura	他的身高是一米八。	His height is 1.8 meters.	Su estatura es de un metro ochenta.			身体的高度	the height of the body	la altura del cuerpo
声	聲	shēng	sound, voice	sonido	我听到了敲门声。	I heard the sound of knocking on the door.	Escuché el sonido de la puerta al llamar.			物体振动产生的声音	the sound produced by vibration of an object	el sonido producido por la vibración de un objeto
生活	生活	shēnghuó	life; to live	vida; vivir	他的生活很简单。	His life is very simple.	Su vida es muy sencilla.			人或生物的日常活动	the daily activities of a person or being	las actividades cotidianas de una persona o ser
生气	生氣	shēngqì	to get angry	enfadarse	他生气了。	He got angry.	Se enfadó.			心里不高兴，发怒	feeling unhappy inside, becoming angry	sentirse infeliz por dentro, enfadarse
声音	聲音	shēngyīn	sound	sonido	请把声音调小一点儿。	Please turn the sound down a bit.	Baja un poco el sonido, por favor.			物体振动时发出的声响	the noise emitted when an object vibrates	el ruido que emite un objeto al vibrar
市	市	shì	city	ciudad	北京市是中国的首都。	Beijing (city) is China's capital.	La ciudad de Pekín es la capital de China.			行政区划单位，指城市	an administrative unit referring to a city	unidad administrativa que se refiere a una ciudad
试	試	shì	to try	probar, intentar	你可以先试一下。	You can try it first.	Puedes probarlo primero.			尝试着做	to attempt to do	intentar hacer algo
室	室	shì	room	habitación, sala	请到办公室来。	Please come to the office.	Ven a la oficina, por favor.			房屋内的一个空间	a space within a building	un espacio dentro de un edificio
世界	世界	shìjiè	world	mundo	他去过世界很多地方。	He has been to many places in the world.	Ha estado en muchos lugares del mundo.			地球上所有地方和人类社会	all places on earth and human society	todos los lugares de la tierra y la sociedad humana
收	收	shōu	to receive	recibir	我收到了一封信。	I received a letter.	Recibí una carta.			接纳，接受	to accept, to take in	aceptar, recibir
收到	收到	shōudào	to receive	recibir	你收到我的邮件了吗？	Did you receive my email?	¿Recibiste mi correo?			接到别人给的东西或信息	to get something or information given by others	recibir algo o información dada por otros
受	受	shòu	to receive, to be affected	recibir, sufrir	他受到了大家的欢迎。	He was welcomed by everyone.	Fue bien recibido por todos.			接受，遭受	to accept, to suffer	aceptar, sufrir
瘦	瘦	shòu	thin, slim	delgado	她最近瘦了很多。	She has gotten a lot thinner recently.	Últimamente ha adelgazado mucho.			身体脂肪少	having little body fat	tener poca grasa corporal
受到	受到	shòudào	to receive, to be subjected to	recibir	他受到了老师的表扬。	He received praise from the teacher.	Recibió elogios del profesor.			接受到某种对待	to be subject to a certain treatment	ser objeto de cierto trato
叔叔	叔叔	shūshu	uncle	tío	我叔叔是医生。	My uncle is a doctor.	Mi tío es médico.			父亲的弟弟	one's father's younger brother	el hermano menor del padre
树	樹	shù	tree	árbol	公园里有很多树。	There are many trees in the park.	Hay muchos árboles en el parque.			木本植物	a woody plant	planta leñosa
数学	數學	shùxué	mathematics	matemáticas	我数学考得不错。	I did well on my math exam.	Me fue bien en el examen de matemáticas.			研究数量、结构等的学科	a discipline studying quantity, structure, etc.	disciplina que estudia la cantidad, la estructura, etc.
刷	刷	shuā	to brush, to scrub	cepillar	每天要刷两次牙。	You need to brush your teeth twice a day.	Hay que cepillarse los dientes dos veces al día.			用刷子清洁	to clean with a brush	limpiar con un cepillo
双	雙	shuāng	pair, measure word for pairs	par	我买了一双鞋。	I bought a pair of shoes.	Compré un par de zapatos.			用于成对物品的量词	a measure word for paired items	clasificador para artículos que van en pares
水平	水平	shuǐpíng	level, standard	nivel	他的汉语水平很高。	His Chinese level is very high.	Su nivel de chino es muy alto.			在某方面达到的高度	the degree reached in some aspect	el grado alcanzado en algún aspecto
司机	司機	sījī	driver	conductor	出租车司机很热情。	The taxi driver is very friendly.	El taxista es muy amable.			驾驶车辆的人	a person who drives a vehicle	persona que conduce un vehículo
四季	四季	sìjì	four seasons	cuatro estaciones	这里四季分明。	The four seasons are distinct here.	Aquí las cuatro estaciones están bien diferenciadas.			春夏秋冬四个季节	the four seasons of spring, summer, autumn, and winter	las cuatro estaciones: primavera, verano, otoño e invierno
太阳	太陽	tàiyáng	sun	sol	太阳从东边升起。	The sun rises in the east.	El sol sale por el este.			太阳系的中心恒星	the central star of the solar system	la estrella central del sistema solar
糖	糖	táng	candy, sugar	caramelo, azúcar	小孩子都喜欢吃糖。	Children all like to eat candy.	A los niños les gusta comer caramelos.			一种有甜味的食品	a sweet-tasting food	alimento de sabor dulce
特别	特別	tèbié	special; particularly	especial; particularmente	今天是一个特别的日子。	Today is a special day.	Hoy es un día especial.			与众不同，不一般	different from the ordinary, not common	distinto de lo ordinario, no común
提高	提高	tígāo	to raise, to improve	mejorar, aumentar	他想提高自己的汉语水平。	He wants to improve his Chinese level.	Quiere mejorar su nivel de chino.			使位置、水平等上升	to make a position, level, etc. rise	hacer que una posición, nivel, etc. suba
体育	體育	tǐyù	physical education	educación física	我们下午有体育课。	We have PE class in the afternoon.	Tenemos clase de educación física por la tarde.			增强体质的教育活动	an educational activity to strengthen the body	actividad educativa para fortalecer el cuerpo
体育馆	體育館	tǐyùguǎn	gymnasium	gimnasio	比赛在体育馆举行。	The match is held in the gymnasium.	El partido se celebra en el pabellón deportivo.			用于体育活动的建筑	a building used for sports activities	edificio usado para actividades deportivas
甜	甜	tián	sweet	dulce	这个水果很甜。	This fruit is very sweet.	Esta fruta está muy dulce.			像糖或蜜一样的味道	a taste like sugar or honey	sabor como el del azúcar o la miel
跳	跳	tiào	to jump	saltar	孩子们高兴地跳了起来。	The children jumped up happily.	Los niños saltaron de alegría.			用腿的力量使身体离开地面	to use leg strength to lift the body off the ground	usar la fuerza de las piernas para levantar el cuerpo del suelo
听说	聽說	tīngshuō	to hear said	oír decir	听说他要结婚了。	I heard he's getting married.	He oído decir que se va a casar.			听别人说起	to hear from others' talk	oír por boca de otros
挺	挺	tǐng	quite, rather	bastante	这个电影挺好看的。	This movie is quite good.	Esta película está bastante bien.			表示程度相当高	indicates a fairly high degree	indica un grado bastante alto
同事	同事	tóngshì	colleague	compañero de trabajo	他是我的同事。	He is my colleague.	Es mi compañero de trabajo.			在同一单位工作的人	a person who works at the same organization	persona que trabaja en la misma organización
同意	同意	tóngyì	to agree	estar de acuerdo	我同意你的看法。	I agree with your view.	Estoy de acuerdo con tu opinión.			对某种意见表示赞成	to express approval of an opinion	expresar aprobación de una opinión
头发	頭髮	tóufa	hair	pelo	她的头发很长。	Her hair is very long.	Su pelo es muy largo.			长在头上的毛	hair growing on the head	pelo que crece en la cabeza
突然	突然	tūrán	sudden	repentino	突然下起了大雨。	Suddenly it started raining hard.	De repente empezó a llover fuerte.			事情发生得又快又出乎意料	something happens quickly and unexpectedly	algo ocurre rápida e inesperadamente
图书馆	圖書館	túshūguǎn	library	biblioteca	我在图书馆学习。	I study in the library.	Estudio en la biblioteca.			收藏图书供人阅读的场所	a place that collects books for people to read	lugar que recoge libros para que la gente lea
腿	腿	tuǐ	leg	pierna	他的腿受伤了。	His leg is injured.	Se ha lesionado la pierna.			人或动物用来支撑身体和走路的部分	the part a person or animal uses to support the body and walk	parte que usa una persona o animal para sostener el cuerpo y caminar
外地	外地	wàidì	other place	otra región	他是外地人。	He is from another region.	Él es de otra región.			本地以外的地方	a place outside one's local area	lugar fuera de la propia zona
外卖	外賣	wàimài	takeaway; to order takeout	comida para llevar	我们今天点外卖吧。	Let's order takeout today.	Pidamos comida para llevar hoy.			从餐厅买回家吃的食物	food bought from a restaurant to eat elsewhere	comida comprada en un restaurante para comer en otro lugar
外语	外語	wàiyǔ	foreign language	idioma extranjero	他会说三种外语。	He can speak three foreign languages.	Habla tres idiomas extranjeros.			本国语言以外的语言	a language other than one's native language	idioma distinto de la lengua materna
完成	完成	wánchéng	to complete	completar	我已经完成了作业。	I have already completed my homework.	Ya he terminado los deberes.			事情按预期做好	to finish something as expected	terminar algo según lo previsto
碗	碗	wǎn	bowl	cuenco, bol	请再给我一碗米饭。	Please give me another bowl of rice.	Dame otro bol de arroz, por favor.			盛饭菜的器皿	a container for holding food	recipiente para contener comida
晚点	晚點	wǎndiǎn	to be late (transport)	retrasarse (transporte)	飞机晚点了。	The plane is delayed.	El avión está retrasado.			比预定时间晚	later than the scheduled time	más tarde de lo previsto
晚会	晚會	wǎnhuì	evening party	velada, fiesta nocturna	我们参加了新年晚会。	We attended the New Year's evening party.	Asistimos a la fiesta de Año Nuevo.			晚上举行的活动	an event held in the evening	evento celebrado por la noche
网球	網球	wǎngqiú	tennis	tenis	他喜欢打网球。	He likes playing tennis.	Le gusta jugar al tenis.			一种球类运动	a type of ball sport	un tipo de deporte de pelota
网站	網站	wǎngzhàn	website	sitio web	这个网站很有用。	This website is very useful.	Este sitio web es muy útil.			互联网上的信息页面集合	a collection of information pages on the internet	conjunto de páginas de información en internet
忘记	忘記	wàngjì	to forget	olvidar	我忘记带钥匙了。	I forgot to bring my keys.	Se me olvidó traer las llaves.			不记得，从记忆中消失	to not remember, to fade from memory	no recordar, desaparecer de la memoria
为	為	wèi	for, because of	por, para	大家都为他高兴。	Everyone is happy for him.	Todos están contentos por él.			表示对象或原因	indicates a target or reason	indica un objetivo o motivo
为了	為了	wèile	in order to	para	为了健康，他每天锻炼。	For the sake of health, he exercises every day.	Para estar sano, hace ejercicio todos los días.			表示目的	indicates a purpose	indica un propósito
卫生间	衛生間	wèishēngjiān	bathroom, restroom	baño	请问卫生间在哪里？	Excuse me, where is the bathroom?	Perdón, ¿dónde está el baño?			供人洗漱、上厕所的房间	a room for washing and using the toilet	habitación para lavarse y usar el baño
文化	文化	wénhuà	culture	cultura	我对中国文化很感兴趣。	I'm very interested in Chinese culture.	Me interesa mucho la cultura china.			一个社会共同的知识、信仰和习俗	the shared knowledge, beliefs, and customs of a society	el conocimiento, creencias y costumbres compartidos de una sociedad
屋子	屋子	wūzi	room, house	habitación, casa	这间屋子很干净。	This room is very clean.	Esta habitación está muy limpia.			房间	a room	una habitación
西	西	xī	west	oeste	太阳从西边落下。	The sun sets in the west.	El sol se pone por el oeste.			四个方向之一，与东相对	one of the four directions, opposite of east	una de las cuatro direcciones, opuesta al este
西北	西北	xīběi	northwest	noroeste	中国的西北部有很多沙漠。	There are many deserts in northwest China.	Hay muchos desiertos en el noroeste de China.			西和北之间的方向	the direction between west and north	la dirección entre el oeste y el norte
西方	西方	xīfāng	west	occidente	太阳从西方落下。	The sun sets in the west.	El sol se pone por el occidente.			西边的方向或地区	the western direction or region	la dirección o región del oeste
西瓜	西瓜	xīguā	watermelon	sandía	夏天吃西瓜很舒服。	Eating watermelon in summer is very pleasant.	Comer sandía en verano es muy agradable.			一种夏天的多汁水果	a juicy summer fruit	una fruta jugosa de verano
西南	西南	xīnán	southwest	suroeste	他来自中国西南部。	He is from southwest China.	Es del suroeste de China.			西和南之间的方向	the direction between west and south	la dirección entre el oeste y el sur
习惯	習慣	xíguàn	to be used to; habit	acostumbrarse; costumbre	我已经习惯了这里的生活。	I've already gotten used to life here.	Ya me he acostumbrado a la vida de aquí.			长期养成的行为方式	a behavior pattern formed over a long time	un patrón de comportamiento formado a lo largo del tiempo
喜爱	喜愛	xǐ'ài	to like, to love	apreciar, querer	大家都喜爱这只小狗。	Everyone loves this little dog.	A todos les encanta este perrito.			对人或事物有好感	to have a positive feeling toward a person or thing	tener buena impresión de una persona o cosa
洗衣机	洗衣機	xǐyījī	washing machine	lavadora	我用洗衣机洗衣服。	I use a washing machine to wash clothes.	Uso la lavadora para lavar la ropa.			用来洗衣服的机器	a machine used for washing clothes	máquina usada para lavar ropa
洗澡	洗澡	xǐzǎo	to take a bath	bañarse	我每天晚上洗澡。	I take a bath every night.	Me baño todas las noches.			清洗全身	to wash one's whole body	lavarse todo el cuerpo
夏天	夏天	xiàtiān	summer	verano	夏天很热。	Summer is very hot.	El verano es muy caluroso.			一年四季中最热的季节	the hottest season of the year	la estación más calurosa del año
先	先	xiān	first, before	primero	你先走吧，我随后就到。	You go first, I'll follow right after.	Ve tú primero, yo llego enseguida.			表示时间或顺序在前	indicates being earlier in time or order	indica ser anterior en tiempo u orden
香蕉	香蕉	xiāngjiāo	banana	plátano	猴子喜欢吃香蕉。	Monkeys like to eat bananas.	A los monos les gusta comer plátanos.			一种黄色的热带水果	a yellow tropical fruit	una fruta tropical amarilla
相信	相信	xiāngxìn	to believe	creer	我相信他说的话。	I believe what he says.	Creo lo que dice.			认为是真实的	to consider to be true	considerar que es verdad
箱子	箱子	xiāngzi	box, case	caja, maleta	他把衣服放进箱子里。	He put the clothes into the box.	Metió la ropa en la maleta.			用来装东西的方形容器	a square container used to hold things	recipiente cuadrado usado para guardar cosas
向	向	xiàng	to face, toward	hacia	请向左转。	Please turn toward the left.	Gira hacia la izquierda, por favor.			表示动作的方向	indicates the direction of an action	indica la dirección de una acción
像	像	xiàng	to resemble, to be like	parecerse a	她长得很像她妈妈。	She looks a lot like her mother.	Se parece mucho a su madre.			具有相似的样子或性质	having a similar appearance or nature	tener un aspecto o naturaleza similar
相机	相機	xiàngjī	camera	cámara	他买了一台新相机。	He bought a new camera.	Compró una cámara nueva.			用来拍照的设备	a device used for taking photos	dispositivo usado para hacer fotos
小区	小區	xiǎoqū	residential community	urbanización	我住在一个新小区。	I live in a new residential community.	Vivo en una urbanización nueva.			城市中的居住区域	a residential area in a city	zona residencial en una ciudad
小心	小心	xiǎoxīn	to be careful; careful	tener cuidado	过马路要小心。	Be careful when crossing the street.	Ten cuidado al cruzar la calle.			留意，谨慎	to pay attention, to be cautious	prestar atención, ser cauteloso
校园	校園	xiàoyuán	campus	campus	校园里有很多树。	There are many trees on campus.	Hay muchos árboles en el campus.			学校内的场地	the grounds within a school	el terreno dentro de una escuela
校长	校長	xiàozhǎng	principal, headmaster	director (de escuela)	校长在给大家讲话。	The principal is speaking to everyone.	El director está hablando a todos.			学校的最高负责人	the highest-ranking person in charge of a school	la persona de mayor rango a cargo de una escuela
鞋	鞋	xié	shoe	zapato	这双鞋很舒服。	These shoes are very comfortable.	Estos zapatos son muy cómodos.			穿在脚上的用品	an item worn on the feet	artículo que se lleva en los pies
心里	心裡	xīnlǐ	heart, mind	en el corazón, por dentro	我心里很难过。	I feel very sad inside.	Me siento muy triste por dentro.			内心，思想深处	one's inner mind, deep thoughts	la mente interior, pensamientos profundos
新年	新年	xīnnián	New Year	Año Nuevo	新年快乐！	Happy New Year!	¡Feliz Año Nuevo!			一年的开始	the beginning of a year	el comienzo de un año
新闻	新聞	xīnwén	news	noticias	我每天看新闻。	I watch the news every day.	Veo las noticias todos los días.			关于最近事件的报道	a report about recent events	un informe sobre sucesos recientes
新鲜	新鮮	xīnxiān	fresh	fresco	这些蔬菜很新鲜。	These vegetables are very fresh.	Estas verduras están muy frescas.			刚生产不久，没有变质	recently produced, not spoiled	producido recientemente, sin estropear
信	信	xìn	to believe; letter	creer; carta	我给朋友写了一封信。	I wrote a letter to my friend.	Le escribí una carta a mi amigo.			认为可靠；也指信件	to consider reliable; also refers to a letter	considerar fiable; también se refiere a una carta
信用卡	信用卡	xìnyòngkǎ	credit card	tarjeta de crédito	我用信用卡付款。	I pay with a credit card.	Pago con tarjeta de crédito.			用于消费信贷的卡片	a card used for consumer credit	tarjeta usada para crédito al consumo
行	行	xíng	to go; okay	ir; vale	这样行不行？	Is this okay or not?	¿Está bien así o no?			可以，能行	acceptable, workable	aceptable, viable
行李	行李	xíngli	luggage	equipaje	请把行李放在这里。	Please put the luggage here.	Deja el equipaje aquí, por favor.			出门时携带的物品	items carried when traveling	artículos que se llevan al viajar
兴趣	興趣	xìngqù	interest	interés	他对音乐很有兴趣。	He has a lot of interest in music.	Tiene mucho interés en la música.			对事物喜好的情绪	an emotion of liking something	una emoción de gusto por algo
休假	休假	xiūjià	to take a holiday	tomarse vacaciones	他下周要休假。	He is taking a holiday next week.	La próxima semana se toma vacaciones.			请假休息	to take leave to rest	pedir permiso para descansar
需要	需要	xūyào	to need; need	necesitar	我需要你的帮助。	I need your help.	Necesito tu ayuda.			应该有或必须有	should have or must have	debería tener o debe tener
选	選	xuǎn	to choose	elegir	请选一个你喜欢的颜色。	Please choose a color you like.	Elige un color que te guste.			从中挑出合适的	to pick out a suitable one from among options	escoger uno adecuado entre opciones
选择	選擇	xuǎnzé	to choose	elegir	我们有很多选择。	We have many choices.	Tenemos muchas opciones.			挑选	to select	seleccionar
学期	學期	xuéqī	semester	semestre	这个学期我很忙。	I'm very busy this semester.	Estoy muy ocupado este semestre.			学校教学的一个阶段	a period of school teaching	un periodo de enseñanza escolar
牙	牙	yá	tooth	diente	我的牙很疼。	My tooth hurts a lot.	Me duele mucho el diente.			口腔中用来咀嚼的器官	an organ in the mouth used for chewing	órgano de la boca usado para masticar
牙刷	牙刷	yáshuā	toothbrush	cepillo de dientes	请给我一把新牙刷。	Please give me a new toothbrush.	Dame un cepillo de dientes nuevo, por favor.			用来刷牙的工具	a tool used for brushing teeth	herramienta usada para cepillarse los dientes
羊	羊	yáng	sheep	oveja	山上有很多羊。	There are many sheep on the mountain.	Hay muchas ovejas en la montaña.			一种常见的家畜	a common domestic animal	un animal doméstico común
养	養	yǎng	to raise, to keep	criar	她家养了一只猫。	Her family keeps a cat.	Su familia tiene un gato.			饲养动物或抚育孩子	to raise animals or nurture children	criar animales o educar a los hijos
要求	要求	yāoqiú	to demand; requirement	exigir; requisito	老师对我们要求很高。	The teacher has high requirements for us.	El profesor tiene exigencias altas con nosotros.			提出具体的愿望或条件	to put forward a specific wish or condition	presentar un deseo o condición específica
页	頁	yè	measure word for page	(clasificador de páginas)	请翻到第十页。	Please turn to page ten.	Ve a la página diez, por favor.			书刊中的一张纸	a sheet of paper in a book or publication	una hoja de papel en un libro o publicación
一定	一定	yídìng	certain; certainly	seguro; con seguridad	我一定会来的。	I will certainly come.	Seguro que vendré.			表示坚决或确定的态度	indicates a firm or certain attitude	indica una actitud firme o segura
一共	一共	yígòng	altogether, in total	en total	这些东西一共多少钱？	How much do these things cost altogether?	¿Cuánto cuesta todo esto en total?			合计，总共	to add up, in sum	sumar, en conjunto
一块儿	一塊兒	yíkuàir	together	juntos	我们一块儿去吧。	Let's go together.	Vamos juntos.			在同一个地方，一起	in the same place, together	en el mismo lugar, juntos
一样	一樣	yíyàng	same	igual	我们俩想法一样。	The two of us think the same.	Los dos pensamos igual.			没有差别，相同	no difference, identical	sin diferencia, idéntico
以后	以後	yǐhòu	later, after	después	以后我们再见面吧。	Let's meet again later.	Nos vemos después.			指现在或某时间点之后	refers to after now or a certain point in time	se refiere a después de ahora o cierto momento
以前	以前	yǐqián	before	antes	我以前住在上海。	I used to live in Shanghai before.	Antes vivía en Shanghái.			指现在或某时间点之前	refers to before now or a certain point in time	se refiere a antes de ahora o cierto momento
以上	以上	yǐshàng	above, more than	más de, superior a	十八岁以上才能进去。	Only those 18 and above can enter.	Solo pueden entrar los mayores de dieciocho años.			表示位置、数量等在某点之上	indicates position, quantity, etc. above a certain point	indica posición, cantidad, etc. por encima de cierto punto
以外	以外	yǐwài	except, besides	aparte de, excepto	除了他以外，大家都同意。	Except for him, everyone agreed.	Aparte de él, todos estuvieron de acuerdo.			表示某个范围之外	indicates outside a certain range	indica fuera de un rango determinado
以为	以為	yǐwéi	to think, to believe (mistakenly)	creer (erróneamente)	我以为你不来了。	I thought you weren't coming.	Pensaba que no venías.			认为（常表示与事实不符的判断）	to think (often indicating a judgment that turns out wrong)	pensar (a menudo indica un juicio que resulta erróneo)
以下	以下	yǐxià	below, less than	menos de, inferior a	十岁以下的孩子免费。	Children under ten are free.	Los niños menores de diez años entran gratis.			表示位置、数量等在某点之下	indicates position, quantity, etc. below a certain point	indica posición, cantidad, etc. por debajo de cierto punto
一般	一般	yìbān	general, ordinary	general, corriente	这只是一般的情况。	This is just a general situation.	Esto es solo una situación general.			普通，通常	ordinary, usual	ordinario, habitual
一边	一邊	yìbiān	at the same time	al mismo tiempo	他一边吃饭一边看电视。	He eats while watching TV.	Come mientras ve la tele.			表示两个动作同时进行	indicates two actions happening at the same time	indica dos acciones que ocurren al mismo tiempo
一直	一直	yìzhí	always, straight	siempre	他一直在等你。	He has been waiting for you the whole time.	Ha estado esperándote todo el rato.			表示动作持续不变	indicates an action continuing unchanged	indica una acción que continúa sin cambios
音乐	音樂	yīnyuè	music	música	我喜欢听音乐。	I like listening to music.	Me gusta escuchar música.			用声音组织表达情感的艺术	an art form using organized sound to express emotion	arte que usa sonido organizado para expresar emociones
银行	銀行	yínháng	bank	banco	我要去银行取钱。	I need to go to the bank to withdraw money.	Tengo que ir al banco a sacar dinero.			办理存款、贷款等业务的机构	an institution handling deposits, loans, etc.	institución que gestiona depósitos, préstamos, etc.
银行卡	銀行卡	yínhángkǎ	bank card	tarjeta bancaria	我把钱存进银行卡里。	I deposited the money into my bank card.	Ingresé el dinero en mi tarjeta bancaria.			银行发行的用于存取款的卡	a card issued by a bank for deposits and withdrawals	tarjeta emitida por un banco para depósitos y retiros
饮料	飲料	yǐnliào	beverage	bebida	你想喝什么饮料？	What beverage would you like to drink?	¿Qué bebida quieres tomar?			可以喝的液体	a liquid that can be drunk	líquido que se puede beber
应该	應該	yīnggāi	should, ought to	deber	你应该多休息。	You should rest more.	Deberías descansar más.			表示理应如此	indicates something ought to be the case	indica que algo debería ser así
影响	影響	yǐngxiǎng	to affect; influence	afectar; influencia	天气影响了我们的计划。	The weather affected our plans.	El clima afectó a nuestros planes.			对事物产生作用	to have an effect on something	producir un efecto sobre algo
用	用	yòng	to use	usar	请用中文回答。	Please answer in Chinese.	Responde en chino, por favor.			使人或事物为某种目的服务	to make a person or thing serve a purpose	hacer que una persona o cosa sirva a un propósito
邮件	郵件	yóujiàn	mail	correo	我给你发了一封邮件。	I sent you an email.	Te envié un correo.			通过邮局或网络传递的信件	a letter delivered through the post office or internet	carta entregada a través del correo o internet
游客	遊客	yóukè	tourist	turista	这里有很多游客。	There are many tourists here.	Aquí hay muchos turistas.			到外地游览的人	a person visiting another place for sightseeing	persona que visita otro lugar para hacer turismo
游戏	遊戲	yóuxì	game	juego	孩子们在玩游戏。	The children are playing a game.	Los niños están jugando.			供娱乐消遣的活动	an activity for entertainment	actividad para el entretenimiento
邮箱	郵箱	yóuxiāng	mailbox	buzón, correo electrónico	请把文件发到我的邮箱。	Please send the file to my mailbox.	Envía el archivo a mi correo, por favor.			收发邮件的设施或账户	a facility or account for sending and receiving mail	instalación o cuenta para enviar y recibir correo
